,I01,I02,I04
906,0.3,0.22,0.245
907,0.3,0.235,0.24
908,0.3,0.255,0.23
909,0.3,0.24,0.24
910,0.3,0.23,0.24
911,0.3,0.245,0.245
912,0.3,0.245,0.24
913,0.3,0.24,0.24
914,0.3,0.23,0.255
915,0.3,0.24,0.235
916,0.3,0.235,0.245
917,0.305,0.24,0.245
918,0.3,0.235,0.25
919,0.3,0.245,0.245
920,0.305,0.245,0.245
921,0.3,0.24,0.24
922,0.3,0.23,0.245
923,0.3,0.235,0.235
924,0.3,0.245,0.25
925,0.3,0.24,0.23
926,0.3,0.24,0.24
927,0.305,0.255,0.24
928,0.3,0.255,0.23
929,0.305,0.24,0.24
930,0.3,0.235,0.25
931,0.3,0.235,0.25
932,0.3,0.235,0.245
933,0.3,0.25,0.25
934,0.3,0.24,0.245
935,0.3,0.245,0.24
936,0.3,0.25,0.24
937,0.3,0.215,0.255
938,0.3,0.23,0.26
939,0.3,0.25,0.225
940,0.305,0.24,0.235
941,0.3,0.25,0.24
942,0.3,0.245,0.24
943,0.3,0.22,0.25
944,0.3,0.24,0.255
945,0.3,0.24,0.225
946,0.3,0.24,0.24
947,0.3,0.235,0.245
948,0.3,0.24,0.245
949,0.3,0.235,0.24
950,0.305,0.245,0.235
951,0.31,0.24,0.24
952,0.3,0.245,0.245
953,0.3,0.25,0.26
954,0.3,0.225,0.24
955,0.305,0.23,0.245
956,0.305,0.235,0.24
957,0.3,0.235,0.24
958,0.3,0.24,0.24
959,0.3,0.235,0.245
960,0.3,0.225,0.24
961,0.3,0.24,0.25
962,0.3,0.23,0.245
963,0.3,0.245,0.255
964,0.3,0.235,0.27
965,0.3,0.225,0.245
966,0.3,0.245,0.24
967,0.315,0.235,0.245
968,0.3,0.235,0.245
969,0.3,0.24,0.245
970,0.3,0.24,0.24
971,0.3,0.24,0.25
972,0.3,0.24,0.245
973,0.305,0.225,0.245
974,0.3,0.235,0.235
975,0.305,0.245,0.245
976,0.3,0.235,0.24
977,0.3,0.25,0.235
978,0.3,0.24,0.24
979,0.3,0.23,0.25
980,0.305,0.225,0.255
981,0.3,0.24,0.235
982,0.295,0.26,0.245
983,0.3,0.225,0.24
984,0.3,0.235,0.25
985,0.3,0.24,0.24
986,0.3,0.265,0.24
987,0.295,0.25,0.235
988,0.305,0.235,0.225
989,0.3,0.235,0.225
990,0.3,0.245,0.24
991,0.3,0.23,0.245
992,0.3,0.235,0.26
993,0.3,0.245,0.255
